GUID,AnalysisError,Interferences,Ixx,iyy,Izz,MassEstimate,Battery_amps_to_max_amps_ratio_at_MFD,Battery_amps_to_max_amps_ratio_at_MxSpd,Distance_at_MxSpd__m_,Max_Flight_Distance__m_,Max_Hover_Time__s,Max_Lateral_Speed__m_s_,Max_uc_at_MFD,Motor_amps_to_max_amps_ratio_at_MFD,Motor_amps_to_max_amps_ratio_at_MxSpd,Motor_power_to_max_power_ratio_at_MFD,Motor_power_to_max_power_ratio_at_MxSpd,Power_at_MFD__W_,Power_at_MxSpd__W_,Speed_at_MFD__m_s_,ArmLength,BatteryOffset_X,BatteryOffset_z,SupportLength
5f051bb0-2b99-43d9-b3e6-f7efb7e7aa51,FALSE,0,25669.77424,25669.77028,50668.00571,0.476653308,0.202105448,0.202105448,1329.99878,1329.99878,196.792679,7,0.76574403,0.120005876,0.120005876,8.33E-02,8.33E-02,86.1043091,86.1043091,7,385.9579083,0.373201466,-0.284419973,131.7545597
0b4b0d17-69dd-4846-b636-d5b7249d27c9,FALSE,0,7698.926845,7698.900601,14721.16784,0.438749457,0.217507571,0.217507571,1412.36462,1412.36462,208.145813,8,0.8087973,0.129187942,0.129187942,8.96E-02,8.96E-02,97.8020172,97.8020172,8,218.1253058,1.428218803,-0.536802579,132.6999122
71331fb8-d925-4a7b-afcc-4276bc50cc53,FALSE,0,6946.094885,6946.146422,13166.62802,0.437334444,0.18863453,0.18863453,1221.40955,1221.40955,208.594955,6,0.724971354,0.112049215,0.112049215,7.77E-02,7.77E-02,76.1099625,76.1099625,6,206.857223,-1.845656837,-0.863167137,137.7378214
2e81039c-7a78-4d7e-8e56-e277be0095de,FALSE,0,12762.321,12762.315,24798.78393,0.453221214,0.182601914,0.182601914,1051.46765,1051.46765,203.660522,5,0.708533943,0.10843055,0.10843055,7.52E-02,7.52E-02,72.0417404,72.0417404,5,276.9278849,0.265198051,-0.580911038,137.6151783
c85ddba5-619a-4181-9a97-577610cb1b05,FALSE,0,14212.66476,14212.66097,27614.73819,0.458073204,0.183081746,0.183081746,1048.71179,1048.71179,202.199509,5,0.709890127,0.108724743,0.108724743,7.54E-02,7.54E-02,72.3629684,72.3629684,5,290.2773412,1.102263278,-0.099442114,145.6286
1a306a64-5975-4d45-bacc-fc0c35b0f670,FALSE,0,15815.32938,15815.28834,30831.33921,0.461300401,0.183061674,0.183061674,1048.8269,1048.8269,201.239258,5,0.709712029,0.108722977,0.108722977,7.54E-02,7.54E-02,72.3318787,72.3318787,5,305.5398638,-1.884405005,0.67160526,144.5751345
1b24ade5-138e-47ad-9007-c1ba965ea876,FALSE,0,14009.93603,14009.98904,27354.21974,0.454844549,0.182289809,0.182289809,1053.26782,1053.26782,203.169373,5,0.707525551,0.108266331,0.108266331,7.51E-02,7.51E-02,71.8066101,71.8066101,5,290.3397775,1.781645377,0.873162237,131.3506854
bcb583ff-28f3-4bc1-a7ee-90593f3f0c77,FALSE,0,25769.83943,25769.82173,50903.89642,0.476049348,0.201953739,0.201953739,1330.99792,1330.99792,196.963898,7,0.765440941,0.119934686,0.119934686,8.32E-02,8.32E-02,85.996521,85.996521,7,387.2609807,1.749983407,-0.296380931,127.7923076
6b5194bf-9cdb-48ac-af20-43f0f3c865b1,FALSE,0,16420.93658,16420.94222,32270.81738,0.457813753,0.181753308,0.181753308,1056.37695,1056.37695,202.2771,5,0.705505788,0.107925311,0.107925311,7.49E-02,7.49E-02,71.4046631,71.4046631,5,314.4803252,0.244024693,0.586276531,120.2832739
deedce58-7407-4896-8989-75b239161987,FALSE,0,11145.31573,11145.30389,21670.9349,0.447077669,0.181923881,0.181923881,1055.38647,1055.38647,205.540878,5,0.706713498,0.108038902,0.108038902,7.50E-02,7.50E-02,71.5863266,71.5863266,5,261.1964465,-1.145041739,0.32443465,126.2971428
dd1b0ad9-8e96-4ea8-83fd-ec4b05c400c0,FALSE,0,15336.35593,15336.40137,29839.57284,0.460887854,0.189745024,0.189745024,1214.26111,1214.26111,201.361496,6,0.727974892,0.112687565,0.112687565,7.82E-02,7.82E-02,76.8826752,76.8826752,6,300.6654555,1.502024865,0.883300661,147.6331361
ee8d7783-c814-4779-9d17-ef063fff24e8,FALSE,0,16896.71858,16896.69892,33186.46396,0.459631571,0.188723058,0.188723058,1220.83655,1220.83655,201.73468,6,0.724966466,0.112071268,0.112071268,7.77E-02,7.77E-02,76.1608276,76.1608276,6,318.1239831,-1.102150983,0.560145408,124.6433056
aa1e4ead-9e8a-4589-b894-ddcdf39f85a2,FALSE,0,10926.4899,10926.46341,21186.13138,0.44755392,0.188704953,0.188704953,1220.95374,1220.95374,205.393875,6,0.725005507,0.112079263,0.112079263,7.78E-02,7.78E-02,76.1480637,76.1480637,6,258.0393165,1.704215076,-0.456005965,131.5511601
3801eb3d-f15c-49e1-9f3c-ca6de24208f1,FALSE,0,27439.36558,27439.36773,54138.70692,0.480782538,0.182440683,0.182440683,841.91748,841.91748,195.629944,4,0.71211648,0.108337007,0.108337007,7.52E-02,7.52E-02,72.3367538,72.3367538,4,397.1029787,0.987821286,0.062193728,138.7901177
e29540d7-14b4-4cb5-83c8-8aa9e5bad0f1,FALSE,0,16066.6014,16066.59224,31371.24922,0.461142741,0.182876348,0.182876348,1049.88965,1049.88965,201.28595,5,0.7090078,0.108591661,0.108591661,7.53E-02,7.53E-02,72.1986618,72.1986618,5,308.3438462,-0.551287248,0.544889489,141.0769916
e9ac17f1-26a7-4e19-834d-d81262b6c7b6,FALSE,0,23719.21414,23719.21368,46838.86601,0.471889213,0.188984886,0.188984886,1219.14514,1219.14514,198.151382,6,0.725653291,0.112211756,0.112211756,7.78E-02,7.78E-02,76.3455658,76.3455658,6,373.1363233,0.04844316,-0.148652513,123.6002633
5d3050af-d871-41f8-869e-f5be06a0facf,FALSE,0,13530.0899,13530.08364,26408.95234,0.453459693,0.18219009,0.18219009,1053.84436,1053.84436,203.588211,5,0.707202733,0.108193509,0.108193509,7.51E-02,7.51E-02,71.7419128,71.7419128,5,285.8105569,0.979459685,-0.183798999,129.782507
6a7dadb2-b8fd-476b-9739-734a5ca06f01,FALSE,0,8534.44916,8534.436015,16372.10841,0.441667958,0.182295069,0.182295069,1053.23743,1053.23743,207.22551,5,0.708324254,0.108256519,0.108256519,7.51E-02,7.51E-02,71.8954544,71.8954544,5,228.9013034,0.77834777,-0.48083769,134.7738131
72054ae9-c907-4bb8-bae3-65fc196f8bbd,FALSE,0,17114.77136,17114.78738,33542.54308,0.461806229,0.182493284,0.182493284,1052.09351,1052.09351,201.089569,5,0.707763612,0.108370833,0.108370833,7.52E-02,7.52E-02,71.9190445,71.9190445,5,318.7888808,-0.531732439,-0.991240801,133.5532319
730bdf03-0d56-49be-b447-ffc9fa5b5152,FALSE,0,19341.37321,19341.36844,37993.94247,0.466127167,0.189264417,0.189264417,1217.34448,1217.34448,199.819885,6,0.726511598,0.112387501,0.112387501,7.80E-02,7.80E-02,76.5429459,76.5429459,6,337.6683453,0.136760914,-0.785257231,133.6984698
337badeb-49ce-4484-bb69-c77784b16c36,FALSE,0,6858.59473,6858.602376,13086.62343,0.435083345,0.188111395,0.188111395,1224.80615,1224.80615,209.313492,6,0.723408222,0.111733742,0.111733742,7.75E-02,7.75E-02,75.7394638,75.7394638,6,206.9854505,-1.660911966,-0.14269728,127.6982056
b99bea6a-31ec-4ac0-9e67-e3942b111be5,FALSE,0,12406.374,12406.36414,24153.82309,0.451021016,0.201019496,0.201019496,1337.18372,1337.18372,204.329987,7,0.761746049,0.119388871,0.119388871,8.28E-02,8.28E-02,85.1851425,85.1851425,7,274.2008749,1.589234515,-0.1817583,130.6549162
527d2bc0-57f4-493d-8558-649ac2a2d1ab,FALSE,0,27800.51263,27800.49889,54785.74422,0.482695854,0.183449641,0.183449641,1046.60876,1046.60876,195.095825,5,0.71008575,0.108944677,0.108944677,7.56E-02,7.56E-02,72.5274963,72.5274963,5,398.4263056,1.740475137,-0.231079595,145.8909509
31ef973b-3710-45ea-babd-bf79c64e7848,FALSE,0,23346.83161,23346.82805,45867.03105,0.47577067,0.183379546,0.183379546,1047.00879,1047.00879,197.042999,5,0.710034132,0.108894162,0.108894162,7.55E-02,7.55E-02,72.4990158,72.4990158,5,366.8696284,-0.158342634,0.950320072,146.9566645
0cc43a7c-77ff-4462-b291-1059656a83b5,FALSE,0,7750.453814,7750.452803,14882.03394,0.437657978,0.188142106,0.188142106,1224.60632,1224.60632,208.492096,6,0.723316193,0.111730725,0.111730725,7.75E-02,7.75E-02,75.7531509,75.7531509,6,219.6918812,0.820092152,-0.03525743,126.3276515
35401a34-b805-4826-9560-ff7f45bc17a3,FALSE,0,18581.00704,18581.05128,36530.10185,0.463487907,0.181266442,0.181266442,847.371399,847.371399,200.593521,4,0.709466934,0.107654981,0.107654981,7.47E-02,7.47E-02,71.598938,71.598938,4,332.2432133,1.789638722,0.724952145,127.5031767
7f5194a7-aed8-4925-85cb-4d5b45fdb271,FALSE,0,10021.5564,10021.53128,19233.76182,0.447928269,0.189324275,0.189324275,1216.95959,1216.95959,205.278473,6,0.726787925,0.112444125,0.112444125,7.80E-02,7.80E-02,76.585228,76.585228,6,245.6537742,1.478482637,-0.496502798,145.5849279
